    0.0784	      50.88
    0.0937	      50.97
     0.132	      51.19
      0.13	      51.03
     0.164	      50.91
     0.202	      51.08
     0.215	      50.93
      0.26	      51.15
     0.287	      50.99
     0.349	      50.83
     0.352	      51.05
     0.403	      51.13
     0.409	      51.05
      0.44	      51.27
     0.486	       50.9
     0.532	       51.2
     0.543	       50.9
     0.627	      50.79
     0.668	      50.68
     0.718	      50.65
     0.729	      50.38
     0.748	      50.19
     0.775	      50.01
     0.776	       50.1
     0.794	      49.87
       0.8	      49.74
     0.805	      49.58
     0.817	       49.4
      0.85	      49.18
     0.862	      48.97
     0.875	      48.87
     0.938	      48.77
     0.943	      48.58
     0.962	      48.38
     0.981	      48.17
     0.992	      47.94
      1.02	      48.02
      1.04	      47.79
      1.05	      47.57
      1.07	      47.38
      1.09	      47.19
      1.09	       47.1
      1.13	      47.02
      1.14	       46.8
      1.18	      46.79
      1.18	       46.5
      1.23	      46.57
      1.27	      46.59
      1.28	      46.68
      1.32	      46.48
      1.37	      46.48
      1.42	       46.6
      1.44	      46.76
      1.47	      46.45
      1.49	      46.58
      1.51	      46.53
      1.51	      46.76
      1.53	      46.59
      1.56	      46.82
       1.6	      46.47
      1.65	      46.81
       1.7	      46.82
      1.74	      46.72
      1.79	      46.55
      1.81	      46.83
      1.84	      46.68
      1.84	      46.62
      1.89	      46.63
       1.9	      46.76
      1.93	      46.94
      1.98	      46.58
      2.01	      46.83
      2.03	      47.03
      2.05	      47.21
      2.08	       47.4
      2.11	      47.59
      2.15	       47.8
      2.18	      47.99
       2.2	      48.19
      2.23	      48.39
      2.25	       48.6
      2.27	      48.79
       2.3	         49
      2.35	       49.2
      2.38	      49.41
       2.4	      49.59
      2.43	      49.79
      2.45	         50
      2.49	       50.1
       2.5	      50.39
      2.54	       50.6
      2.54	      50.85
      2.56	         51
      2.61	       51.2
      2.63	       51.4
      2.66	      51.58
      2.72	      51.84
      2.74	      51.76
      2.78	      51.91
      2.85	      52.01
      2.88	      51.79
       2.9	      52.22
      2.93	      52.17
      2.98	      52.18
      2.99	      52.04
      3.01	      52.15
      3.08	      52.29
       3.1	       52.1
      3.13	      51.97
      3.17	      52.12
      3.18	      52.02
      3.23	      52.15
      3.25	      52.02
      3.26	      51.95
      3.32	         52
      3.33	      51.94
      3.37	      51.78
      3.39	      51.59
      3.39	       51.4
      3.42	      51.21
      3.45	      50.99
      3.46	      50.59
      3.47	       50.5
      3.49	      50.58
       3.5	       50.4
      3.52	       50.2
      3.52	      50.01
      3.51	      49.81
      3.52	      49.61
      3.52	      49.34
      3.55	       49.6
      3.57	      49.67
      3.59	      49.54
      3.61	       49.4
      3.63	      49.21
      3.65	         49
      3.64	      48.81
      3.66	       48.6
      3.66	      48.42
      3.69	      48.28
      3.73	       48.3
      3.72	      48.21
      3.74	      48.02
      3.76	       47.8
      3.79	      47.61
      3.83	      47.43
      3.83	       47.3
      3.86	      47.38
      3.88	      47.32
      3.95	      47.29
      3.96	      47.22
      4.01	      47.44
      4.06	      47.25
      4.07	      47.41
      4.11	      47.39
      4.12	      47.42
      4.13	      47.38
      4.14	      47.45
      4.16	      47.36
      4.18	      47.27
      4.23	      47.27
      4.24	      47.24
      4.29	      47.46
       4.3	      47.16
      4.38	      47.27
       4.4	      47.28
      4.46	      47.36
      4.51	      47.46
      4.53	      47.31
      4.55	      47.37
      4.56	      47.54
       4.6	      47.37
      4.65	       47.5
      4.66	      47.44
      4.69	      47.47
      4.75	      47.41
      4.76	      47.36
      4.81	      47.48
      4.85	      47.25
      4.88	      47.42
      4.89	       47.5
      4.93	      47.51
      4.97	      47.24
      5.01	       47.5
      5.03	      47.39
      5.06	      47.49
      5.11	      47.27
