    0.0782	      51.46
      0.25	       51.5
     0.365	      51.52
     0.455	      51.35
     0.481	      51.15
     0.508	      50.99
     0.547	      50.71
     0.567	      50.54
       0.6	      50.33
     0.605	      50.18
     0.624	      49.99
     0.636	      49.78
     0.648	       49.6
     0.674	      49.39
     0.679	      49.18
     0.691	      48.99
     0.717	      48.79
     0.722	       48.6
     0.748	      48.39
     0.752	      48.18
     0.771	      47.99
      0.79	      47.78
     0.809	      47.58
     0.835	      47.38
     0.862	      47.19
     0.895	      46.99
     0.914	      46.79
     0.933	      46.59
     0.974	       46.4
      1.04	      46.19
      1.12	      45.99
       1.2	      45.87
       1.3	      45.88
      1.41	      45.87
      1.52	      45.89
      1.56	      45.86
      1.62	      45.88
       1.7	      45.88
      1.78	         46
      1.84	      46.19
      1.88	       46.4
      1.91	      46.61
      1.95	       46.8
      1.98	      46.98
      2.02	       47.2
      2.03	      47.39
      2.06	       47.6
      2.08	      47.79
      2.09	      47.99
      2.12	      48.21
      2.13	      48.39
      2.15	       48.6
      2.17	       48.8
      2.19	      48.99
      2.21	       49.2
      2.23	      49.39
      2.25	      49.59
      2.28	      49.79
      2.31	      49.99
      2.35	       50.2
      2.38	       50.4
       2.4	       50.6
      2.43	      50.81
      2.46	      50.99
      2.52	       51.2
       2.6	       51.4
      2.69	       51.6
      2.76	      51.59
      2.88	      51.62
      2.95	      51.65
      3.06	      51.67
      3.09	       51.6
      3.14	       51.4
      3.17	      51.21
      3.19	      50.99
      3.23	       50.8
      3.24	      50.61
      3.28	       50.4
       3.3	       50.2
      3.32	      50.01
      3.33	       49.8
      3.33	       49.6
      3.36	      49.41
      3.37	       49.2
      3.39	         49
      3.39	       48.8
      3.41	       48.6
      3.43	      48.39
      3.44	      48.19
      3.46	         48
      3.47	      47.82
       3.5	      47.61
      3.53	      47.41
      3.54	      47.22
      3.57	      47.01
       3.6	       46.8
      3.62	      46.62
      3.65	      46.42
       3.7	      46.21
      3.77	      46.02
      3.84	      45.82
      3.91	      45.78
      3.99	      45.79
      4.04	      45.78
      4.17	      45.79
      4.39	      45.79
      4.59	      45.79
       4.7	      45.81
      4.79	      45.79
      4.99	       45.8
